x,y,v
-14.209551,1.276457,1.770
-14.259019,1.283845,1.759
-14.308383,1.291898,1.749
-14.357633,1.300623,1.738
-14.406758,1.310024,1.727
-14.455747,1.320109,1.712
-14.504589,1.330886,1.696
-14.553271,1.342362,1.679
-14.601781,1.354546,1.662
-14.650106,1.367446,1.645
-14.698231,1.381070,1.628
-14.746143,1.395428,1.611
-14.793826,1.410527,1.593
-14.841257,1.426402,1.575
-14.888423,1.443047,1.557
-14.935311,1.460459,1.539
-14.981903,1.478647,1.521
-15.028182,1.497619,1.502
-15.074128,1.517383,1.483
-15.119720,1.537951,1.464
-15.164938,1.559330,1.445
-15.209760,1.581524,1.425
-15.254166,1.604541,1.405
-15.298132,1.628387,1.385
-15.341634,1.653071,1.365
-15.384644,1.678602,1.344
-15.427135,1.704987,1.323
-15.469076,1.732238,1.302
-15.510434,1.760366,1.280
-15.551152,1.789412,1.258
-15.591165,1.819423,1.235
-15.630453,1.850377,1.212
-15.668966,1.882289,1.189
-15.706637,1.915191,1.165
-15.743372,1.949135,1.141
-15.779038,1.984201,1.120
-15.813522,2.020429,1.102
-15.846608,2.057940,1.088
-15.877979,2.096895,1.078
-15.907594,2.137201,1.072
-15.935251,2.178876,1.070
-15.960692,2.221939,1.072
-15.983919,2.266235,1.078
-16.005196,2.311500,1.089
-16.024707,2.357554,1.102
-16.042557,2.404277,1.119
-16.058846,2.451567,1.139
-16.073665,2.499338,1.161
-16.087172,2.547497,1.184
-16.099386,2.595999,1.208
-16.110362,2.644797,1.233
-16.120152,2.693846,1.256
-16.128783,2.743112,1.279
-16.136275,2.792565,1.299
-16.142644,2.842174,1.318
-16.147905,2.891913,1.334
-16.152071,2.941756,1.349
-16.155148,2.991678,1.360
-16.157138,3.041655,1.370
-16.158053,3.091664,1.378
-16.157879,3.141680,1.384
-16.156617,3.191681,1.388
-16.154298,3.241644,1.391
-16.150923,3.291546,1.392
-16.146495,3.341367,1.392
-16.141015,3.391082,1.391
-16.134484,3.440671,1.388
-16.126901,3.490109,1.384
-16.118267,3.539375,1.379
-16.108577,3.588444,1.373
-16.097826,3.637292,1.365
-16.086012,3.685893,1.356
-16.073135,3.734224,1.346
-16.059190,3.782257,1.335
-16.044171,3.829966,1.324
-16.028068,3.877319,1.312
-16.010868,3.924285,1.301
-15.992543,3.970824,1.290
-15.972996,4.016863,1.280
-15.952275,4.062386,1.271
-15.930370,4.107351,1.265
-15.907225,4.151690,1.260
-15.882801,4.195338,1.258
-15.857111,4.238253,1.260
-15.830117,4.280360,1.264
-15.801800,4.321589,1.271
-15.772263,4.361952,1.283
-15.741392,4.401305,1.297
-15.709385,4.439740,1.316
-15.676410,4.477348,1.337
-15.642531,4.514143,1.362
-15.607825,4.550159,1.390
-15.572385,4.585453,1.420
-15.536274,4.620060,1.452
-15.499541,4.654006,1.486
-15.462228,4.687315,1.518
-15.424371,4.720003,1.550
-15.386000,4.752086,1.582
-15.347145,4.783581,1.613
-15.307830,4.814501,1.643
-15.268079,4.844858,1.673
-15.227911,4.874660,1.702
-15.187342,4.903915,1.731
-15.146390,4.932631,1.759
-15.105070,4.960815,1.787
-15.063396,4.988473,1.812
-15.021382,5.015610,1.833
-14.979039,5.042233,1.853
-14.936381,5.068347,1.872
-14.893418,5.093956,1.889
-14.850161,5.119066,1.906
-14.806620,5.143680,1.922
-14.762806,5.167805,1.938
-14.718727,5.191442,1.953
-14.674393,5.214598,1.968
-14.629813,5.237275,1.982
-14.584994,5.259477,1.996
